centrality	0	5	535	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.95	1.9	2	0.0389184	0.00467115	-0.00467115  0   0
							
centrality	50	60	59	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.800387	0.0960497	-0.0960497  0   0
0.65	0.6	0.7	0.657458	0.0788977	-0.0788977  0   0
0.75	0.7	0.8	0.543295	0.0651977	-0.0651977  0   0
0.85	0.8	0.9	0.434801	0.0521783	-0.0521783  0   0
0.95	0.9	1	0.340009	0.0408029	-0.0408029  0   0
1.05	1	1.1	0.262992	0.0315608	-0.0315608  0   0
1.15	1.1	1.2	0.202141	0.0242585	-0.0242585  0   0
1.25	1.2	1.3	0.154565	0.0185493	-0.0185493  0   0
1.35	1.3	1.4	0.116443	0.0139745	-0.0139745  0   0
1.45	1.4	1.5	0.0869371	0.0104337	-0.0104337  0   0
1.55	1.5	1.6	0.0644243	0.0077321	-0.0077321  0   0
1.65	1.6	1.7	0.0473546	0.00568366	-0.00568366  0   0
1.75	1.7	1.8	0.0351911	0.00422399	-0.00422399  0   0
1.85	1.8	1.9	0.0259765	0.00311818	-0.00311818  0   0
1.95	1.9	2	0.0192166	0.00230695	-0.00230695  0   0
							
centrality	60	70	29.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.44966	0.0539624	-0.0539624  0   0
0.65	0.6	0.7	0.359042	0.0430877	-0.0430877  0   0
0.75	0.7	0.8	0.284825	0.0341813	-0.0341813  0   0
0.85	0.8	0.9	0.222267	0.0266741	-0.0266741  0   0
0.95	0.9	1	0.168285	0.020196	-0.020196  0   0
1.05	1	1.1	0.125923	0.0151124	-0.0151124  0   0
1.15	1.1	1.2	0.0946063	0.0113543	-0.0113543  0   0
1.25	1.2	1.3	0.0709304	0.00851306	-0.00851306  0   0
1.35	1.3	1.4	0.0525487	0.00630715	-0.00630715  0   0
1.45	1.4	1.5	0.0386159	0.00463513	-0.00463513  0   0
1.55	1.5	1.6	0.0280455	0.00336661	-0.00336661  0   0
1.65	1.6	1.7	0.0204843	0.00245919	-0.00245919  0   0
1.75	1.7	1.8	0.0149562	0.00179576	-0.00179576  0   0
1.85	1.8	1.9	0.0108888	0.00130762	-0.00130762  0   0
1.95	1.9	2	0.00807736	0.000970203	-0.000970203  0   0
							
centrality	70	80	13	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.220173	0.0264249	-0.0264249  0   0
0.65	0.6	0.7	0.1692	0.0203073	-0.0203073  0   0
0.75	0.7	0.8	0.129507	0.0155438	-0.0155438  0   0
0.85	0.8	0.9	0.0982183	0.0117888	-0.0117888  0   0
0.95	0.9	1	0.0714295	0.00857388	-0.00857388  0   0
1.05	1	1.1	0.052028	0.00624549	-0.00624549  0   0
1.15	1.1	1.2	0.0380288	0.0045654	-0.0045654  0   0
1.25	1.2	1.3	0.0273036	0.00327824	-0.00327824  0   0
1.35	1.3	1.4	0.020052	0.00240792	-0.00240792  0   0
1.45	1.4	1.5	0.0144781	0.00173893	-0.00173893  0   0
1.55	1.5	1.6	0.0103728	0.00124621	-0.00124621  0   0
1.65	1.6	1.7	0.00749723	0.000901045	-0.000901045  0   0
1.75	1.7	1.8	0.00538553	0.000647566	-0.000647566  0   0
1.85	1.8	1.9	0.00390246	0.000469537	-0.000469537  0   0
1.95	1.9	2	0.00288825	0.00034778	-0.00034778  0   0
