centrality	0	100 4.0 0.5
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
17	16	18	8.25E-11	1.07E-11	-1.07E-11	1.02E-11	-1.02E-11
19	18	20	3.14E-11	8.86E-12	-8.86E-12	4.25E-12	-4.25E-12
21	20	22	1.40E-11	5.82E-12	-5.82E-12	2.00E-12	-2.00E-12
23.5	22	25	0	0	0	0	0
							
centrality	20	40  4.0 0.6
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.01587	4.00E-05	-4.00E-05	0.001428	-0.001428
1.75	1.5	2	0.002584	8.97E-06	-8.97E-06	0.0002403	-0.0002403
2.25	2	2.5	0.0006102	3.27E-06	-3.27E-06	5.74E-05	-5.74E-05
2.75	2.5	3	0.0001615	1.39E-06	-1.39E-06	1.53E-05	-1.53E-05
3.25	3	3.5	5.06E-05	6.81E-07	-6.81E-07	4.86E-06	-4.86E-06
3.75	3.5	4	1.68E-05	3.56E-07	-3.56E-07	1.61E-06	-1.61E-06
4.25	4	4.5	6.24E-06	1.92E-07	-1.92E-07	6.05E-07	-6.05E-07
4.75	4.5	5	2.62E-06	1.23E-07	-1.23E-07	2.54E-07	-2.54E-07
5.25	5	5.5	1.10E-06	7.69E-08	-7.69E-08	1.08E-07	-1.08E-07
5.75	5.5	6	5.49E-07	3.59E-09	-3.59E-09	5.38E-08	-5.38E-08
6.25	6	6.5	2.83E-07	2.44E-09	-2.44E-09	2.80E-08	-2.80E-08
6.75	6.5	7	1.49E-07	1.70E-09	-1.70E-09	1.48E-08	-1.48E-08
7.25	7	7.5	8.45E-08	1.22E-09	-1.22E-09	8.36E-09	-8.36E-09
7.75	7.5	8	5.09E-08	9.30E-10	-9.30E-10	5.04E-09	-5.04E-09
8.25	8	8.5	2.99E-08	6.83E-10	-6.83E-10	2.96E-09	-2.96E-09
8.75	8.5	9	1.89E-08	5.07E-10	-5.07E-10	1.87E-09	-1.87E-09
9.25	9	9.5	1.18E-08	3.90E-10	-3.90E-10	1.17E-09	-1.17E-09
