centrality	0	10  310.75   32.91
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
13	12	14	2.64E-08	7.77E-10	-7.77E-10	3.13541E-09	-3.13541E-09
15	14	16	8.38E-09	4.35E-10	-4.35E-10	1.05541E-09	-1.05541E-09
17	16	18	2.91E-09	2.58E-10	-2.58E-10	4.03616E-10	-4.03616E-10
19	18	20	1.27E-09	1.89E-10	-1.89E-10	1.90393E-10	-1.90393E-10
							
centrality	40	60  54.1   8.00
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	0.2726216	0.004979389	-0.004979389	0.01874757	-0.01874757
1.75	1.5	2	0.04892485	0.000664866	-0.000664866	0.003536659	-0.003536659
2.25	2	2.5	0.01037562	0.000121022	-0.000121022	0.000798618	-0.000798618
2.75	2.5	3	0.002625704	2.81E-05	-2.81E-05	0.000202084	-0.000202084
3.25	3	3.5	0.000778692	7.97E-06	-7.97E-06	6.431E-05	-6.431E-05
3.75	3.5	4	0.000260317	2.57E-06	-2.57E-06	2.3173E-05	-2.3173E-05
4.25	4	4.5	9.67E-05	9.53E-07	-9.53E-07	8.60922E-06	-8.60922E-06
4.75	4.5	5	3.89E-05	3.97E-07	-3.97E-07	3.46492E-06	-3.46492E-06
5.25	5	5.5	1.79E-05	1.89E-07	-1.89E-07	1.72415E-06	-1.72415E-06
5.75	5.5	6	8.30E-06	9.62E-08	-9.62E-08	7.97036E-07	-7.97036E-07
6.25	6	6.5	4.31E-06	5.61E-08	-5.61E-08	4.14539E-07	-4.14539E-07
6.75	6.5	7	2.25E-06	3.49E-08	-3.49E-08	2.16442E-07	-2.16442E-07
7.25	7	7.5	1.28E-06	2.29E-08	-2.29E-08	1.23425E-07	-1.23425E-07
7.75	7.5	8	7.56E-07	1.60E-08	-1.60E-08	7.27118E-08	-7.27118E-08
8.25	8	8.5	4.28E-07	8.66E-09	-8.66E-09	4.4738E-08	-4.4738E-08
8.75	8.5	9	2.79E-07	6.33E-09	-6.33E-09	2.94318E-08	-2.94318E-08
9.25	9	9.5	1.75E-07	4.68E-09	-4.68E-09	1.83968E-08	-1.83968E-08
9.75	9.5	10	1.18E-07	3.46E-09	-3.46E-09	1.24659E-08	-1.24659E-08
11	10	12	4.30E-08	9.67E-10	-9.67E-10	4.88512E-09	-4.88512E-09
13	12	14	1.17E-08	4.90E-10	-4.90E-10	1.3877E-09	-1.3877E-09
15	14	16	3.63E-09	3.09E-10	-3.09E-10	4.64354E-10	-4.64354E-10
17	16	18	1.30E-09	1.77E-10	-1.77E-10	1.85043E-10	-1.85043E-10

centrality	0	100 0   0					
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	0.5240061	0.008666846	-0.008666846	0.036839919	-0.036839919
1.75	1.5	2	0.09060204	0.001115351	-0.001115351	0.006683249	-0.006683249
