centrality	0	20  16.4    1.2					
3.25	3	3.5	0.000286554	5.34E-06	-5.34E-06	2.58E-05	-2.58E-05
3.75	3.5	4	9.72E-05	3.46E-06	-3.46E-06	8.74E-06	-8.74E-06
4.25	4	4.5	4.16E-05	2.62E-06	-2.62E-06	3.75E-06	-3.75E-06
4.75	4.5	5	2.10E-05	2.12E-06	-2.12E-06	1.89E-06	-1.89E-06
							
centrality	40	60  8.7 0.6					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.814546	0.0108805	-0.0108805	0.06516368	-0.06516368
0.65	0.6	0.7	0.512961	0.00647801	-0.00647801	0.04103688	-0.04103688
0.75	0.7	0.8	0.330053	0.00406446	-0.00406446	0.02640424	-0.02640424
0.85	0.8	0.9	0.212751	0.00254436	-0.00254436	0.01702008	-0.01702008
0.95	0.9	1	0.136217	0.00161431	-0.00161431	0.01089736	-0.01089736
1.05	1	1.1	0.0927361	0.00109673	-0.00109673	0.007418888	-0.007418888
1.15	1.1	1.2	0.0633767	0.000764724	-0.000764724	0.005070136	-0.005070136
1.25	1.2	1.3	0.0445208	0.000547124	-0.000547124	0.003561664	-0.003561664
1.35	1.3	1.4	0.0310785	0.000385955	-0.000385955	0.00248628	-0.00248628
1.45	1.4	1.5	0.0214664	0.000268099	-0.000268099	0.001717312	-0.001717312
1.55	1.5	1.6	0.0154165	0.000197206	-0.000197206	0.00123332	-0.00123332
1.65	1.6	1.7	0.0114326	0.000150793	-0.000150793	0.000914608	-0.000914608
1.75	1.7	1.8	0.00836185	0.000113764	-0.000113764	0.000668948	-0.000668948
1.85	1.8	1.9	0.00610311	8.56E-05	-8.56E-05	0.000488249	-0.000488249
1.95	1.9	2	0.00461789	6.79E-05	-6.79E-05	0.000369431	-0.000369431
2.1	2	2.2	0.00301503	3.38E-05	-3.38E-05	0.000241202	-0.000241202
2.3	2.2	2.4	0.00173497	2.20E-05	-2.20E-05	0.000138798	-0.000138798
2.5	2.4	2.6	0.00100926	1.52E-05	-1.52E-05	8.07E-05	-8.07E-05
2.7	2.6	2.8	0.000631516	1.19E-05	-1.19E-05	5.05E-05	-5.05E-05
2.9	2.8	3	0.000381946	9.03E-06	-9.03E-06	3.06E-05	-3.06E-05
3.25	3	3.5	0.000182503	4.24E-06	-4.24E-06	1.64E-05	-1.64E-05
3.75	3.5	4	6.17E-05	2.82E-06	-2.82E-06	5.55E-06	-5.55E-06
4.25	4	4.5	2.19E-05	1.79E-06	-1.79E-06	1.97E-06	-1.97E-06
4.75	4.5	5	1.10E-05	1.58E-06	-1.58E-06	9.89E-07	-9.89E-07
							
centrality	60	88  4.1 0.3					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.421665	0.00564231	-0.00564231	0.0337332	-0.0337332
0.65	0.6	0.7	0.258438	0.0032754	-0.0032754	0.02067504	-0.02067504
0.75	0.7	0.8	0.161664	0.00199926	-0.00199926	0.01293312	-0.01293312
0.85	0.8	0.9	0.101832	0.00122737	-0.00122737	0.00814656	-0.00814656
0.95	0.9	1	0.0645253	0.000774061	-0.000774061	0.005162024	-0.005162024
1.05	1	1.1	0.0430467	0.000516505	-0.000516505	0.003443736	-0.003443736
1.15	1.1	1.2	0.028734	0.00035398	-0.00035398	0.00229872	-0.00229872
1.25	1.2	1.3	0.0200181	0.000252501	-0.000252501	0.001601448	-0.001601448
1.35	1.3	1.4	0.0137327	0.000176677	-0.000176677	0.001098616	-0.001098616
1.45	1.4	1.5	0.00943817	0.000123471	-0.000123471	0.000755054	-0.000755054
1.55	1.5	1.6	0.00665262	9.02E-05	-9.02E-05	0.00053221	-0.00053221
1.65	1.6	1.7	0.00489423	6.94E-05	-6.94E-05	0.000391538	-0.000391538
1.75	1.7	1.8	0.00357555	5.31E-05	-5.31E-05	0.000286044	-0.000286044
1.85	1.8	1.9	0.00255058	3.98E-05	-3.98E-05	0.000204046	-0.000204046
1.95	1.9	2	0.00194814	3.23E-05	-3.23E-05	0.000155851	-0.000155851
2.1	2	2.2	0.00129224	1.66E-05	-1.66E-05	0.000103379	-0.000103379
2.3	2.2	2.4	0.000736546	1.11E-05	-1.11E-05	5.89E-05	-5.89E-05
2.5	2.4	2.6	0.000421713	7.79E-06	-7.79E-06	3.37E-05	-3.37E-05
2.7	2.6	2.8	0.000263136	6.20E-06	-6.20E-06	2.11E-05	-2.11E-05
2.9	2.8	3	0.000154412	4.69E-06	-4.69E-06	1.24E-05	-1.24E-05
3.25	3	3.5	7.26E-05	2.21E-06	-2.21E-06	6.54E-06	-6.54E-06
3.75	3.5	4	2.77E-05	1.62E-06	-1.62E-06	2.49E-06	-2.49E-06
4.25	4	4.5	9.86E-06	1.05E-06	-1.05E-06	8.88E-07	-8.88E-07
4.75	4.5	5	4.62E-06	8.43E-07	-8.43E-07	4.16E-07	-4.16E-07
