centrality	0	10	623.9	32.2					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.85	0.8	0.9	0.622899	0.00907675	-0.00907675	0.06851889	-0.06851889
0.95	0.9	1	0.442903	0.00630259	-0.00630259	0.04871933	-0.04871933
1.05	1	1.1	0.318788	0.00360593	-0.00360593	0.03506668	-0.03506668
1.15	1.1	1.2	0.226409	0.00248325	-0.00248325	0.02490499	-0.02490499
1.25	1.2	1.3	0.158442	0.00167298	-0.00167298	0.01742862	-0.01742862
1.35	1.3	1.4	0.116706	0.00121683	-0.00121683	0.01283766	-0.01283766
1.45	1.4	1.5	0.0856082	0.000886389	-0.000886389	0.009416902	-0.009416902
1.55	1.5	1.6	0.0609681	0.000609621	-0.000609621	0.006706491	-0.006706491
1.65	1.6	1.7	0.0444352	0.000437753	-0.000437753	0.004887872	-0.004887872
1.75	1.7	1.8	0.033414	0.000327345	-0.000327345	0.00367554	-0.00367554
1.85	1.8	1.9	0.0250464	0.000244625	-0.000244625	0.002755104	-0.002755104
1.95	1.9	2	0.0188542	0.000182981	-0.000182981	0.002073962	-0.002073962
2.1	2	2.2	0.0127194	8.81E-05	-8.81E-05	0.001399134	-0.001399134
2.3	2.2	2.4	0.00760688	5.28E-05	-5.28E-05	0.000836757	-0.000836757
2.5	2.4	2.6	0.00469488	3.48E-05	-3.48E-05	0.000516437	-0.000516437
2.7	2.6	2.8	0.00286807	2.33E-05	-2.33E-05	0.000315488	-0.000315488
2.9	2.8	3	0.00182832	1.70E-05	-1.70E-05	0.000201115	-0.000201115
3.25	3	3.5	0.000858389	6.72E-06	-6.72E-06	9.44E-05	-9.44E-05
3.75	3.5	4	0.000335384	4.35E-06	-4.35E-06	3.69E-05	-3.69E-05
							
centrality	60	92  18.3   6.7					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.318808	0.0065149	-0.0065149	0.03506888	-0.03506888
0.65	0.6	0.7	0.232386	0.00436006	-0.00436006	0.02556246	-0.02556246
0.75	0.7	0.8	0.156426	0.00285775	-0.00285775	0.01720686	-0.01720686
0.85	0.8	0.9	0.11128	0.00210096	-0.00210096	0.0122408	-0.0122408
0.95	0.9	1	0.0781233	0.00150512	-0.00150512	0.008593563	-0.008593563
1.05	1	1.1	0.0548294	0.000601937	-0.000601937	0.006031234	-0.006031234
1.15	1.1	1.2	0.0386887	0.000413818	-0.000413818	0.004255757	-0.004255757
1.25	1.2	1.3	0.0265425	0.000275319	-0.000275319	0.002919675	-0.002919675
1.35	1.3	1.4	0.0194673	0.000200186	-0.000200186	0.002141403	-0.002141403
1.45	1.4	1.5	0.0142041	0.000146761	-0.000146761	0.001562451	-0.001562451
1.55	1.5	1.6	0.010012	0.000101079	-0.000101079	0.00110132	-0.00110132
1.65	1.6	1.7	0.0073607	7.42E-05	-7.42E-05	0.000809677	-0.000809677
