centrality	0	20  16.4    1.2
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
9.75	9.5	10	2.37E-08	2.99E-10	-2.99E-10	2.33E-09	-2.33E-09
11	10	12	9.24E-09	1.74E-10	-1.74E-10	9.23E-10	-9.23E-10
13	12	14	2.38E-09	7.51E-11	-7.51E-11	2.62E-10	-2.62E-10
15	14	16	7.01E-10	4.18E-11	-4.18E-11	8.80E-11	-8.80E-11
17	16	18	2.24E-10	2.42E-11	-2.42E-11	3.11E-11	-3.11E-11
19	18	20	7.16E-11	1.49E-11	-1.49E-11	1.08E-11	-1.08E-11
21	20	22	2.61E-11	1.40E-11	-1.40E-11	4.35E-12	-4.35E-12
23.5	22	25	1.26E-11	1.03E-11	-1.03E-11	2.31E-12	-2.31E-12

centrality	60	88  4.1 0.3
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.0234	1.12E-05	-1.12E-05	0.001865	-0.001865
1.75	1.5	2	0.003822	2.88E-06	-2.88E-06	0.0003174	-0.0003174
2.25	2	2.5	0.0008521	1.06E-06	-1.06E-06	7.12E-05	-7.12E-05
2.75	2.5	3	0.0002236	4.57E-07	-4.57E-07	1.88E-05	-1.88E-05
3.25	3	3.5	6.97E-05	2.30E-07	-2.30E-07	6.13E-06	-6.13E-06
3.75	3.5	4	2.38E-05	1.20E-07	-1.20E-07	2.21E-06	-2.21E-06
4.25	4	4.5	9.10E-06	6.98E-08	-6.98E-08	8.62E-07	-8.62E-07
4.75	4.5	5	3.90E-06	4.04E-08	-4.04E-08	3.69E-07	-3.69E-07
5.25	5	5.5	1.73E-06	2.64E-08	-2.64E-08	1.65E-07	-1.65E-07
5.75	5.5	6	8.36E-07	1.74E-08	-1.74E-08	8.00E-08	-8.00E-08
6.25	6	6.5	4.26E-07	1.22E-08	-1.22E-08	4.11E-08	-4.11E-08
6.75	6.5	7	2.31E-07	8.47E-09	-8.47E-09	2.26E-08	-2.26E-08
7.25	7	7.5	1.28E-07	6.86E-10	-6.86E-10	1.26E-08	-1.26E-08
7.75	7.5	8	7.59E-08	5.05E-10	-5.05E-10	7.55E-09	-7.55E-09
8.25	8	8.5	4.56E-08	3.78E-10	-3.78E-10	4.53E-09	-4.53E-09
8.75	8.5	9	2.81E-08	2.86E-10	-2.86E-10	2.80E-09	-2.80E-09
9.25	9	9.5	1.76E-08	2.17E-10	-2.17E-10	1.72E-09	-1.72E-09
9.75	9.5	10	1.15E-08	1.76E-10	-1.76E-10	1.13E-09	-1.13E-09
11	10	12	4.60E-09	1.05E-10	-1.05E-10	4.60E-10	-4.60E-10
13	12	14	1.24E-09	4.55E-11	-4.55E-11	1.36E-10	-1.36E-10
15	14	16	3.44E-10	2.62E-11	-2.62E-11	4.32E-11	-4.32E-11
17	16	18	1.11E-10	1.44E-11	-1.44E-11	1.54E-11	-1.54E-11
19	18	20	3.40E-11	8.73E-12	-8.73E-12	5.15E-12	-5.15E-12
21	20	22	1.38E-11	6.88E-12	-6.88E-12	2.29E-12	-2.29E-12
23.5	22	25	3.52E-12	4.98E-12	-4.98E-12	6.43E-13	-6.43E-13

centrality	0	100 9.5  1.0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.05081	8.64E-06	-8.64E-06	0.00405	-0.00405
1.75	1.5	2	0.008834	2.30E-06	-2.30E-06	0.0007337	-0.0007337
2.25	2	2.5	0.002056	8.72E-07	-8.72E-07	0.0001717	-0.0001717
2.75	2.5	3	0.0005528	3.82E-07	-3.82E-07	4.65E-05	-4.65E-05
3.25	3	3.5	0.0001688	1.87E-07	-1.87E-07	1.48E-05	-1.48E-05
3.75	3.5	4	5.92E-05	1.01E-07	-1.01E-07	5.48E-06	-5.48E-06
4.25	4	4.5	2.24E-05	5.69E-08	-5.69E-08	2.12E-06	-2.12E-06
4.75	4.5	5	9.25E-06	3.35E-08	-3.35E-08	8.76E-07	-8.76E-07
5.25	5	5.5	4.02E-06	2.10E-08	-2.10E-08	3.83E-07	-3.83E-07
5.75	5.5	6	1.90E-06	1.37E-08	-1.37E-08	1.82E-07	-1.82E-07
6.25	6	6.5	9.43E-07	9.16E-09	-9.16E-09	9.11E-08	-9.11E-08
6.75	6.5	7	4.99E-07	6.34E-09	-6.34E-09	4.87E-08	-4.87E-08
7.25	7	7.5	2.74E-07	5.22E-10	-5.22E-10	2.70E-08	-2.70E-08
7.75	7.5	8	1.57E-07	3.79E-10	-3.79E-10	1.57E-08	-1.57E-08
8.25	8	8.5	9.50E-08	2.85E-10	-2.85E-10	9.46E-09	-9.46E-09
8.75	8.5	9	5.79E-08	2.14E-10	-2.14E-10	5.76E-09	-5.76E-09
9.25	9	9.5	3.63E-08	1.64E-10	-1.64E-10	3.55E-09	-3.55E-09
9.75	9.5	10	2.29E-08	1.31E-10	-1.31E-10	2.24E-09	-2.24E-09
11	10	12	8.93E-09	7.63E-11	-7.63E-11	8.92E-10	-8.92E-10
13	12	14	2.26E-09	3.22E-11	-3.22E-11	2.49E-10	-2.49E-10
15	14	16	6.36E-10	1.82E-11	-1.82E-11	7.98E-11	-7.98E-11
17	16	18	2.04E-10	1.05E-11	-1.05E-11	2.84E-11	-2.84E-11
19	18	20	6.64E-11	6.38E-12	-6.38E-12	1.01E-11	-1.01E-11
21	20	22	2.26E-11	4.61E-12	-4.61E-12	3.76E-12	-3.76E-12
23.5	22	25	1.27E-11	4.97E-12	-4.97E-12	2.31E-12	-2.31E-12
