centrality	0	5   12.3    1.7
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
17	16	18	1.65E-10	1.68E-11	-1.68E-11	2.03E-11	-2.03E-11
19	18	20	5.36E-11	9.32E-12	-9.32E-12	7.26E-12	-7.26E-12
21	20	22	2.38E-11	7.53E-12	-7.53E-12	3.39E-12	-3.39E-12
23.5	22	25	8.92E-12	4.46E-12	-4.46E-12	1.50E-12	-1.50E-12

centrality	40	60  5.7   0.8
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.03102	4.91E-05	-4.91E-05	0.002791	-0.002791
1.75	1.5	2	0.005141	1.07E-05	-1.07E-05	0.0004917	-0.0004917
2.25	2	2.5	0.001239	3.87E-06	-3.87E-06	0.0001197	-0.0001197
2.75	2.5	3	0.0003412	1.66E-06	-1.66E-06	3.33E-05	-3.33E-05
3.25	3	3.5	0.0001085	8.02E-07	-8.02E-07	1.07E-05	-1.07E-05
3.75	3.5	4	3.87E-05	4.29E-07	-4.29E-07	3.81E-06	-3.81E-06
4.25	4	4.5	1.47E-05	2.45E-07	-2.45E-07	1.46E-06	-1.46E-06
4.75	4.5	5	5.90E-06	1.46E-07	-1.46E-07	5.88E-07	-5.88E-07
5.25	5	5.5	2.49E-06	8.53E-08	-8.53E-08	2.51E-07	-2.51E-07
5.75	5.5	6	1.17E-06	5.72E-09	-5.72E-09	1.18E-07	-1.18E-07
6.25	6	6.5	5.95E-07	3.89E-09	-3.89E-09	6.03E-08	-6.03E-08
6.75	6.5	7	3.22E-07	2.71E-09	-2.71E-09	3.27E-08	-3.27E-08
7.25	7	7.5	1.77E-07	1.93E-09	-1.93E-09	1.80E-08	-1.80E-08
7.75	7.5	8	1.02E-07	1.40E-09	-1.40E-09	1.03E-08	-1.03E-08
8.25	8	8.5	6.21E-08	1.05E-09	-1.05E-09	6.31E-09	-6.31E-09
8.75	8.5	9	3.77E-08	7.93E-10	-7.93E-10	3.83E-09	-3.83E-09
9.25	9	9.5	2.48E-08	6.20E-10	-6.20E-10	2.45E-09	-2.45E-09
9.75	9.5	10	1.52E-08	4.74E-10	-4.74E-10	1.50E-09	-1.50E-09
11	10	12	6.02E-09	1.33E-10	-1.33E-10	5.96E-10	-5.96E-10
13	12	14	1.59E-09	3.49E-11	-3.49E-11	1.63E-10	-1.63E-10
15	14	16	4.78E-10	1.98E-11	-1.98E-11	5.44E-11	-5.44E-11
17	16	18	1.52E-10	1.28E-11	-1.28E-11	1.88E-11	-1.88E-11
19	18	20	5.56E-11	6.95E-12	-6.95E-12	7.54E-12	-7.54E-12
21	20	22	1.84E-11	4.47E-12	-4.47E-12	2.62E-12	-2.62E-12
23.5	22	25	8.73E-12	2.76E-12	-2.76E-12	1.47E-12	-1.47E-12

centrality	60	84  3.5   0.5
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.01717	3.15E-05	-3.15E-05	0.001545	-0.001545
1.75	1.5	2	0.002723	6.91E-06	-6.91E-06	0.0002604	-0.0002604
2.25	2	2.5	0.0006369	2.51E-06	-2.51E-06	6.15E-05	-6.15E-05
2.75	2.5	3	0.0001755	1.08E-06	-1.08E-06	1.71E-05	-1.71E-05
3.25	3	3.5	5.52E-05	5.27E-07	-5.27E-07	5.44E-06	-5.44E-06
3.75	3.5	4	1.93E-05	2.81E-07	-2.81E-07	1.90E-06	-1.90E-06
4.25	4	4.5	7.18E-06	1.53E-07	-1.53E-07	7.14E-07	-7.14E-07
4.75	4.5	5	3.07E-06	9.51E-08	-9.51E-08	3.06E-07	-3.06E-07
5.25	5	5.5	1.37E-06	6.12E-08	-6.12E-08	1.37E-07	-1.37E-07
5.75	5.5	6	6.63E-07	4.05E-09	-4.05E-09	6.67E-08	-6.67E-08
6.25	6	6.5	3.45E-07	2.78E-09	-2.78E-09	3.51E-08	-3.51E-08
6.75	6.5	7	1.87E-07	1.95E-09	-1.95E-09	1.89E-08	-1.89E-08
7.25	7	7.5	1.07E-07	1.41E-09	-1.41E-09	1.09E-08	-1.09E-08
7.75	7.5	8	6.39E-08	1.04E-09	-1.04E-09	6.49E-09	-6.49E-09
8.25	8	8.5	3.86E-08	7.79E-10	-7.79E-10	3.92E-09	-3.92E-09
8.75	8.5	9	2.45E-08	5.93E-10	-5.93E-10	2.49E-09	-2.49E-09
9.25	9	9.5	1.56E-08	4.59E-10	-4.59E-10	1.55E-09	-1.55E-09
9.75	9.5	10	1.01E-08	3.62E-10	-3.62E-10	1.00E-09	-1.00E-09
11	10	12	4.01E-09	1.02E-10	-1.02E-10	3.97E-10	-3.97E-10
13	12	14	1.05E-09	2.85E-11	-2.85E-11	1.07E-10	-1.07E-10
15	14	16	2.95E-10	1.61E-11	-1.61E-11	3.36E-11	-3.36E-11
17	16	18	9.22E-11	9.97E-12	-9.97E-12	1.14E-11	-1.14E-11
19	18	20	3.37E-11	5.40E-12	-5.40E-12	4.57E-12	-4.57E-12
21	20	22	1.18E-11	4.15E-12	-4.15E-12	1.67E-12	-1.67E-12
23.5	22	25	5.55E-12	2.77E-12	-2.77E-12	9.32E-13	-9.32E-13
    
centrality	0	100 6.7 0.9
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.03017	2.21E-05	-2.21E-05	0.002715	-0.002715
1.75	1.5	2	0.005147	4.75E-06	-4.75E-06	0.0004923	-0.0004923
2.25	2	2.5	0.00125	1.70E-06	-1.70E-06	0.0001208	-0.0001208
2.75	2.5	3	0.0003475	7.22E-07	-7.22E-07	3.39E-05	-3.39E-05
3.25	3	3.5	0.0001094	3.47E-07	-3.47E-07	1.08E-05	-1.08E-05
3.75	3.5	4	3.83E-05	1.83E-07	-1.83E-07	3.78E-06	-3.78E-06
4.25	4	4.5	1.46E-05	1.04E-07	-1.04E-07	1.45E-06	-1.45E-06
4.75	4.5	5	5.92E-06	6.15E-08	-6.15E-08	5.89E-07	-5.89E-07
5.25	5	5.5	2.57E-06	3.83E-08	-3.83E-08	2.58E-07	-2.58E-07
5.75	5.5	6	1.17E-06	2.48E-09	-2.48E-09	1.18E-07	-1.18E-07
6.25	6	6.5	5.90E-07	1.68E-09	-1.68E-09	5.99E-08	-5.99E-08
6.75	6.5	7	3.12E-07	1.16E-09	-1.16E-09	3.17E-08	-3.17E-08
7.25	7	7.5	1.71E-07	8.20E-10	-8.20E-10	1.73E-08	-1.73E-08
7.75	7.5	8	9.75E-08	5.96E-10	-5.96E-10	9.90E-09	-9.90E-09
8.25	8	8.5	5.77E-08	4.39E-10	-4.39E-10	5.85E-09	-5.85E-09
8.75	8.5	9	3.56E-08	3.32E-10	-3.32E-10	3.62E-09	-3.62E-09
9.25	9	9.5	2.23E-08	2.54E-10	-2.54E-10	2.21E-09	-2.21E-09
9.75	9.5	10	1.41E-08	1.98E-10	-1.98E-10	1.39E-09	-1.39E-09
11	10	12	5.50E-09	5.47E-11	-5.47E-11	5.44E-10	-5.44E-10
13	12	14	1.32E-09	1.81E-11	-1.81E-11	1.35E-10	-1.35E-10
15	14	16	3.97E-10	1.04E-11	-1.04E-11	4.52E-11	-4.52E-11
17	16	18	1.28E-10	6.53E-12	-6.53E-12	1.58E-11	-1.58E-11
19	18	20	4.82E-11	4.21E-12	-4.21E-12	6.54E-12	-6.54E-12
21	20	22	1.66E-11	2.66E-12	-2.66E-12	2.36E-12	-2.36E-12
23.5	22	25	7.39E-12	1.85E-12	-1.85E-12	1.24E-12	-1.24E-12
