centrality	0	100 12.2    1.4
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
19	18	20	1.79E-10	5.76E-11	-5.76E-11	2.73E-11	-2.73E-11
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0
							
centrality	20	40  16.1  1.8
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.09583	9.37E-05	-9.37E-05	0.007748	-0.007748
1.75	1.5	2	0.01673	1.94E-05	-1.94E-05	0.00137	-0.00137
2.25	2	2.5	0.003793	6.31E-06	-6.31E-06	0.000316	-0.000316
2.75	2.5	3	0.001043	2.50E-06	-2.50E-06	8.80E-05	-8.80E-05
3.25	3	3.5	0.0003237	1.15E-06	-1.15E-06	2.78E-05	-2.78E-05
3.75	3.5	4	0.0001153	6.02E-07	-6.02E-07	1.00E-05	-1.00E-05
4.25	4	4.5	4.35E-05	3.39E-07	-3.39E-07	3.89E-06	-3.89E-06
4.75	4.5	5	1.81E-05	2.02E-07	-2.02E-07	1.64E-06	-1.64E-06
5.25	5	5.5	8.01E-06	1.28E-07	-1.28E-07	7.44E-07	-7.44E-07
5.75	5.5	6	3.82E-06	8.28E-08	-8.28E-08	3.57E-07	-3.57E-07
6.25	6	6.5	1.89E-06	1.96E-08	-1.96E-08	1.78E-07	-1.78E-07
6.75	6.5	7	1.01E-06	1.34E-08	-1.34E-08	9.54E-08	-9.54E-08
7.25	7	7.5	5.50E-07	9.41E-09	-9.41E-09	5.40E-08	-5.40E-08
7.75	7.5	8	3.23E-07	6.86E-09	-6.86E-09	3.17E-08	-3.17E-08
8.25	8	8.5	1.93E-07	5.07E-09	-5.07E-09	1.89E-08	-1.89E-08
8.75	8.5	9	1.17E-07	3.80E-09	-3.80E-09	1.14E-08	-1.14E-08
9.25	9	9.5	7.61E-08	2.96E-09	-2.96E-09	7.15E-09	-7.15E-09
9.75	9.5	10	4.61E-08	2.33E-09	-2.33E-09	4.34E-09	-4.34E-09
11	10	12	1.82E-08	6.27E-10	-6.27E-10	1.73E-09	-1.73E-09
13	12	14	4.44E-09	2.93E-10	-2.93E-10	4.27E-10	-4.27E-10
15	14	16	1.30E-09	1.28E-10	-1.28E-10	1.45E-10	-1.45E-10
17	16	18	4.94E-10	8.16E-11	-8.16E-11	6.41E-11	-6.41E-11
19	18	20	1.94E-10	6.29E-11	-6.29E-11	2.96E-11	-2.96E-11
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0
							
centrality	40	60  10.3    1.1
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.05571	6.23E-05	-6.23E-05	0.004504	-0.004504
1.75	1.5	2	0.009673	1.37E-05	-1.37E-05	0.000792	-0.000792
2.25	2	2.5	0.002256	4.60E-06	-4.60E-06	0.0001879	-0.0001879
2.75	2.5	3	0.0006184	1.86E-06	-1.86E-06	5.22E-05	-5.22E-05
3.25	3	3.5	0.0001894	8.69E-07	-8.69E-07	1.63E-05	-1.63E-05
3.75	3.5	4	6.66E-05	4.56E-07	-4.56E-07	5.77E-06	-5.77E-06
4.25	4	4.5	2.52E-05	2.59E-07	-2.59E-07	2.26E-06	-2.26E-06
4.75	4.5	5	1.06E-05	1.54E-07	-1.54E-07	9.58E-07	-9.58E-07
5.25	5	5.5	4.63E-06	9.66E-08	-9.66E-08	4.31E-07	-4.31E-07
5.75	5.5	6	2.29E-06	6.45E-08	-6.45E-08	2.14E-07	-2.14E-07
6.25	6	6.5	1.15E-06	1.59E-08	-1.59E-08	1.08E-07	-1.08E-07
6.75	6.5	7	6.32E-07	1.11E-08	-1.11E-08	5.99E-08	-5.99E-08
7.25	7	7.5	3.61E-07	7.88E-09	-7.88E-09	3.54E-08	-3.54E-08
7.75	7.5	8	2.07E-07	5.69E-09	-5.69E-09	2.04E-08	-2.04E-08
8.25	8	8.5	1.31E-07	4.36E-09	-4.36E-09	1.28E-08	-1.28E-08
8.75	8.5	9	7.87E-08	3.20E-09	-3.20E-09	7.68E-09	-7.68E-09
9.25	9	9.5	4.91E-08	2.47E-09	-2.47E-09	4.61E-09	-4.61E-09
9.75	9.5	10	3.27E-08	1.97E-09	-1.97E-09	3.08E-09	-3.08E-09
11	10	12	1.18E-08	5.16E-10	-5.16E-10	1.12E-09	-1.12E-09
13	12	14	3.11E-09	2.57E-10	-2.57E-10	2.99E-10	-2.99E-10
15	14	16	7.30E-10	9.74E-11	-9.74E-11	8.13E-11	-8.13E-11
17	16	18	2.78E-10	7.70E-11	-7.70E-11	3.61E-11	-3.61E-11
19	18	20	6.20E-11	5.20E-11	-5.20E-11	9.45E-12	-9.45E-12
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0
							
centrality	60	88  4.4   0.5
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.02322	3.01E-05	-3.01E-05	0.001877	-0.001877
1.75	1.5	2	0.003847	6.80E-06	-6.80E-06	0.000315	-0.000315
2.25	2	2.5	0.0008927	2.33E-06	-2.33E-06	7.44E-05	-7.44E-05
2.75	2.5	3	0.0002366	9.67E-07	-9.67E-07	2.00E-05	-2.00E-05
3.25	3	3.5	7.27E-05	4.61E-07	-4.61E-07	6.24E-06	-6.24E-06
3.75	3.5	4	2.55E-05	2.44E-07	-2.44E-07	2.22E-06	-2.22E-06
4.25	4	4.5	9.54E-06	1.37E-07	-1.37E-07	8.54E-07	-8.54E-07
4.75	4.5	5	4.08E-06	8.34E-08	-8.34E-08	3.69E-07	-3.69E-07
5.25	5	5.5	1.78E-06	5.22E-08	-5.22E-08	1.65E-07	-1.65E-07
5.75	5.5	6	8.91E-07	3.55E-08	-3.55E-08	8.33E-08	-8.33E-08
6.25	6	6.5	4.54E-07	8.50E-09	-8.50E-09	4.26E-08	-4.26E-08
6.75	6.5	7	2.47E-07	5.88E-09	-5.88E-09	2.34E-08	-2.34E-08
7.25	7	7.5	1.40E-07	4.16E-09	-4.16E-09	1.38E-08	-1.38E-08
7.75	7.5	8	8.19E-08	3.05E-09	-3.05E-09	8.04E-09	-8.04E-09
8.25	8	8.5	4.90E-08	2.24E-09	-2.24E-09	4.78E-09	-4.78E-09
8.75	8.5	9	3.09E-08	1.74E-09	-1.74E-09	3.02E-09	-3.02E-09
9.25	9	9.5	2.01E-08	1.36E-09	-1.36E-09	1.89E-09	-1.89E-09
9.75	9.5	10	1.29E-08	1.07E-09	-1.07E-09	1.22E-09	-1.22E-09
11	10	12	4.70E-09	2.84E-10	-2.84E-10	4.46E-10	-4.46E-10
13	12	14	1.16E-09	1.40E-10	-1.40E-10	1.11E-10	-1.11E-10
15	14	16	3.64E-10	6.44E-11	-6.44E-11	4.05E-11	-4.05E-11
17	16	18	8.08E-11	3.29E-11	-3.29E-11	1.05E-11	-1.05E-11
19	18	20	3.01E-11	2.31E-11	-2.31E-11	4.58E-12	-4.58E-12
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0
