1.05	1	1.1	0.842	0	0	0.02	-0.02
1.15	1.1	1.2	0.601	0	0	0.015	-0.015
1.25	1.2	1.3	0.422	0	0	0.011	-0.011
1.35	1.3	1.4	0.299	0	0	0.0087	-0.0087
1.45	1.4	1.5	0.222	0	0	0.0072	-0.0072
1.55	1.5	1.6	0.163	0	0	0.0058	-0.0058
1.65	1.6	1.7	0.114	0	0	0.0046	-0.0046
1.75	1.7	1.8	0.0852	0	0	0.0038	-0.0038
1.85	1.8	1.9	0.0658	0	0	0.0032	-0.0032
1.95	1.9	2	0.0487	0	0	0.0027	-0.0027
							
centrality	40	50	109.4	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	3.28	0	0	0.078	-0.078
0.55	0.5	0.6	2.43	0	0	0.053	-0.053
0.65	0.6	0.7	1.78	0	0	0.038	-0.038
0.75	0.7	0.8	1.26	0	0	0.027	-0.027
0.85	0.8	0.9	0.9	0	0	0.021	-0.021
0.95	0.9	1	0.646	0	0	0.016	-0.016
1.05	1	1.1	0.482	0	0	0.013	-0.013
1.15	1.1	1.2	0.348	0	0	0.01	-0.01
1.25	1.2	1.3	0.234	0	0	0.0075	-0.0075
1.35	1.3	1.4	0.17	0	0	0.0059	-0.0059
1.45	1.4	1.5	0.12	0	0	0.0048	-0.0048
1.55	1.5	1.6	0.0925	0	0	0.004	-0.004
1.65	1.6	1.7	0.0622	0	0	0.0031	-0.0031
1.75	1.7	1.8	0.0481	0	0	0.0027	-0.0027
1.85	1.8	1.9	0.0366	0	0	0.0023	-0.0023
1.95	1.9	2	0.0291	0	0	0.002	-0.002
							
centrality	50	60	61.6	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	1.93	0	0	0.05	-0.05
0.55	0.5	0.6	1.36	0	0	0.033	-0.033
0.65	0.6	0.7	1.01	0	0	0.024	-0.024
0.75	0.7	0.8	0.682	0	0	0.017	-0.017
0.85	0.8	0.9	0.477	0	0	0.013	-0.013
0.95	0.9	1	0.351	0	0	0.01	-0.01
1.05	1	1.1	0.254	0	0	0.0082	-0.0082
1.15	1.1	1.2	0.18	0	0	0.0064	-0.0064
1.25	1.2	1.3	0.128	0	0	0.0051	-0.0051
1.35	1.3	1.4	0.0853	0	0	0.0039	-0.0039
1.45	1.4	1.5	0.064	0	0	0.0033	-0.0033
1.55	1.5	1.6	0.0473	0	0	0.0027	-0.0027
1.65	1.6	1.7	0.0339	0	0	0.0022	-0.0022
1.75	1.7	1.8	0.0231	0	0	0.0018	-0.0018
1.85	1.8	1.9	0.0172	0	0	0.0015	-0.0015
1.95	1.9	2	0.0153	0	0	0.0014	-0.0014
							
centrality	60	70	32	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
