centrality	0	20  16.4    1.2					
2.9	2.8	3	0.000152597	4.21E-06	-4.21E-06	1.37E-05	-1.37E-05
3.25	3	3.5	6.98E-05	1.65E-06	-1.65E-06	7.67E-06	-7.67E-06
3.75	3.5	4	2.33E-05	8.66E-07	-8.66E-07	2.57E-06	-2.57E-06
4.25	4	4.5	8.99E-06	5.48E-07	-5.48E-07	9.88E-07	-9.88E-07
4.75	4.5	5	3.87E-06	3.77E-07	-3.77E-07	4.25E-07	-4.25E-07
							
centrality	40	60  8.7 0.6					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.0290998	0.000595799	-0.000595799	0.002618982	-0.002618982
0.65	0.6	0.7	0.0303008	0.00051482	-0.00051482	0.002727072	-0.002727072
0.75	0.7	0.8	0.0269976	0.000412173	-0.000412173	0.002429784	-0.002429784
0.85	0.8	0.9	0.0226958	0.000328719	-0.000328719	0.002042622	-0.002042622
0.95	0.9	1	0.0177625	0.000249586	-0.000249586	0.001598625	-0.001598625
1.05	1	1.1	0.0140664	0.000196937	-0.000196937	0.001265976	-0.001265976
1.15	1.1	1.2	0.0109451	0.000156336	-0.000156336	0.000985059	-0.000985059
1.25	1.2	1.3	0.00810731	0.000118122	-0.000118122	0.000729658	-0.000729658
1.35	1.3	1.4	0.00623278	9.32E-05	-9.32E-05	0.00056095	-0.00056095
1.45	1.4	1.5	0.0046561	7.18E-05	-7.18E-05	0.000419049	-0.000419049
1.55	1.5	1.6	0.00349732	5.64E-05	-5.64E-05	0.000314759	-0.000314759
1.65	1.6	1.7	0.00258121	4.37E-05	-4.37E-05	0.000232309	-0.000232309
1.75	1.7	1.8	0.00195671	3.49E-05	-3.49E-05	0.000176104	-0.000176104
1.85	1.8	1.9	0.00146529	2.82E-05	-2.82E-05	0.000131876	-0.000131876
1.95	1.9	2	0.00107837	2.24E-05	-2.24E-05	9.71E-05	-9.71E-05
2.1	2	2.2	0.000726989	1.20E-05	-1.20E-05	6.54E-05	-6.54E-05
2.3	2.2	2.4	0.00041228	8.18E-06	-8.18E-06	3.71E-05	-3.71E-05
2.5	2.4	2.6	0.000241688	5.88E-06	-5.88E-06	2.18E-05	-2.18E-05
2.7	2.6	2.8	0.000144012	4.22E-06	-4.22E-06	1.30E-05	-1.30E-05
2.9	2.8	3	8.57E-05	3.11E-06	-3.11E-06	7.71E-06	-7.71E-06
3.25	3	3.5	3.96E-05	1.25E-06	-1.25E-06	4.36E-06	-4.36E-06
3.75	3.5	4	1.37E-05	6.74E-07	-6.74E-07	1.50E-06	-1.50E-06
4.25	4	4.5	5.39E-06	4.29E-07	-4.29E-07	5.93E-07	-5.93E-07
4.75	4.5	5	2.69E-06	3.09E-07	-3.09E-07	2.95E-07	-2.95E-07
							
centrality	60	88  4.1 0.3					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.0156969	0.000327839	-0.000327839	0.001412721	-0.001412721
0.65	0.6	0.7	0.0154054	0.000268155	-0.000268155	0.001386486	-0.001386486
0.75	0.7	0.8	0.0135469	0.000212515	-0.000212515	0.001219221	-0.001219221
0.85	0.8	0.9	0.0109696	0.000164419	-0.000164419	0.000987264	-0.000987264
0.95	0.9	1	0.008396	0.000123065	-0.000123065	0.00075564	-0.00075564
1.05	1	1.1	0.00646906	9.54E-05	-9.54E-05	0.000582215	-0.000582215
1.15	1.1	1.2	0.00485576	7.41E-05	-7.41E-05	0.000437018	-0.000437018
1.25	1.2	1.3	0.00351271	5.55E-05	-5.55E-05	0.000316144	-0.000316144
1.35	1.3	1.4	0.00263686	4.36E-05	-4.36E-05	0.000237317	-0.000237317
1.45	1.4	1.5	0.0019334	3.37E-05	-3.37E-05	0.000174006	-0.000174006
1.55	1.5	1.6	0.00140796	2.63E-05	-2.63E-05	0.000126716	-0.000126716
1.65	1.6	1.7	0.00103332	2.06E-05	-2.06E-05	9.30E-05	-9.30E-05
1.75	1.7	1.8	0.000782074	1.68E-05	-1.68E-05	7.04E-05	-7.04E-05
1.85	1.8	1.9	0.000564473	1.33E-05	-1.33E-05	5.08E-05	-5.08E-05
1.95	1.9	2	0.000427025	1.11E-05	-1.11E-05	3.84E-05	-3.84E-05
2.1	2	2.2	0.000273595	5.85E-06	-5.85E-06	2.46E-05	-2.46E-05
2.3	2.2	2.4	0.000148911	3.99E-06	-3.99E-06	1.34E-05	-1.34E-05
2.5	2.4	2.6	8.91E-05	2.95E-06	-2.95E-06	8.02E-06	-8.02E-06
2.7	2.6	2.8	5.17E-05	2.10E-06	-2.10E-06	4.66E-06	-4.66E-06
2.9	2.8	3	2.93E-05	1.51E-06	-1.51E-06	2.64E-06	-2.64E-06
3.25	3	3.5	1.36E-05	6.19E-07	-6.19E-07	1.50E-06	-1.50E-06
3.75	3.5	4	5.57E-06	3.75E-07	-3.75E-07	6.13E-07	-6.13E-07
4.25	4	4.5	1.67E-06	1.93E-07	-1.93E-07	1.84E-07	-1.84E-07
4.75	4.5	5	5.90E-07	1.05E-07	-1.05E-07	6.49E-08	-6.49E-08
