centrality	0	10  623.9   32.2
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
7.25	7	7.5	2.40E-06	4.98E-08	-4.98E-08	2.11E-07	-2.11E-07
7.75	7.5	8	1.49E-06	3.68E-08	-3.68E-08	1.31E-07	-1.31E-07
8.25	8	8.5	8.66E-07	2.71E-08	-2.71E-08	6.50E-08	-6.50E-08
8.75	8.5	9	5.58E-07	2.07E-08	-2.07E-08	4.18E-08	-4.18E-08
9.25	9	9.5	3.43E-07	1.56E-08	-1.56E-08	2.60E-08	-2.60E-08
9.75	9.5	10	2.38E-07	1.26E-08	-1.26E-08	1.92E-08	-1.92E-08
11	10	12	8.34E-08	3.49E-09	-3.49E-09	9.15E-09	-9.15E-09
13	12	14	2.35E-08	1.82E-09	-1.82E-09	4.16E-09	-4.16E-09
15	14	16	4.54E-09	2.56E-09	-2.56E-09	1.14E-09	-1.14E-09
17	16	18	2.23E-09	6.45E-10	-6.45E-10	7.34E-10	-7.34E-10
19	18	20	1.52E-09	6.79E-10	-6.79E-10	6.17E-10	-6.17E-10
							
centrality	50	60  61.6    7.1
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
5.25	5	5.5	2.15E-05	1.80E-07	-1.80E-07	1.89E-06	-1.89E-06
5.75	5.5	6	1.01E-05	1.15E-07	-1.15E-07	8.85E-07	-8.85E-07
6.25	6	6.5	5.25E-06	7.89E-08	-7.89E-08	4.62E-07	-4.62E-07
6.75	6.5	7	2.79E-06	5.42E-08	-5.42E-08	2.45E-07	-2.45E-07
7.25	7	7.5	1.54E-06	3.90E-08	-3.90E-08	1.35E-07	-1.35E-07
7.75	7.5	8	9.02E-07	2.85E-08	-2.85E-08	7.93E-08	-7.93E-08
8.25	8	8.5	5.63E-07	2.22E-08	-2.22E-08	4.22E-08	-4.22E-08
8.75	8.5	9	3.35E-07	1.64E-08	-1.64E-08	2.51E-08	-2.51E-08
9.25	9	9.5	2.04E-07	1.27E-08	-1.27E-08	1.54E-08	-1.54E-08
9.75	9.5	10	1.46E-07	9.99E-09	-9.99E-09	1.18E-08	-1.18E-08
11	10	12	5.27E-08	2.81E-09	-2.81E-09	5.78E-09	-5.78E-09
13	12	14	1.56E-08	1.66E-09	-1.66E-09	2.76E-09	-2.76E-09
15	14	16	4.39E-09	7.76E-10	-7.76E-10	1.10E-09	-1.10E-09
17	16	18	9.29E-10	4.15E-10	-4.15E-10	3.05E-10	-3.05E-10
19	18	20	3.03E-10	3.03E-10	-3.03E-10	1.23E-10	-1.23E-10
							
centrality	60	70  32  5
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
5.25	5	5.5	1.15E-05	1.29E-07	-1.29E-07	1.01E-06	-1.01E-06
5.75	5.5	6	5.65E-06	8.42E-08	-8.42E-08	4.97E-07	-4.97E-07
6.25	6	6.5	2.76E-06	5.66E-08	-5.66E-08	2.42E-07	-2.42E-07
6.75	6.5	7	1.59E-06	4.05E-08	-4.05E-08	1.40E-07	-1.40E-07
7.25	7	7.5	8.20E-07	2.79E-08	-2.79E-08	7.20E-08	-7.20E-08
7.75	7.5	8	4.85E-07	2.08E-08	-2.08E-08	4.26E-08	-4.26E-08
8.25	8	8.5	2.96E-07	1.55E-08	-1.55E-08	2.22E-08	-2.22E-08
8.75	8.5	9	1.86E-07	1.22E-08	-1.22E-08	1.40E-08	-1.40E-08
9.25	9	9.5	1.01E-07	9.14E-09	-9.14E-09	7.65E-09	-7.65E-09
9.75	9.5	10	8.90E-08	8.12E-09	-8.12E-09	7.19E-09	-7.19E-09
11	10	12	2.72E-08	1.99E-09	-1.99E-09	2.98E-09	-2.98E-09
13	12	14	9.21E-09	1.06E-09	-1.06E-09	1.63E-09	-1.63E-09
15	14	16	3.13E-09	6.53E-10	-6.53E-10	7.87E-10	-7.87E-10
17	16	18	2.03E-09	6.12E-10	-6.12E-10	6.67E-10	-6.67E-10
19	18	20	3.02E-10	3.02E-10	-3.02E-10	1.23E-10	-1.23E-10
							
centrality	70	80  16  4
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
5.25	5	5.5	5.49E-06	8.72E-08	-8.72E-08	4.82E-07	-4.82E-07
5.75	5.5	6	2.65E-06	5.72E-08	-5.72E-08	2.33E-07	-2.33E-07
6.25	6	6.5	1.33E-06	3.85E-08	-3.85E-08	1.17E-07	-1.17E-07
6.75	6.5	7	6.96E-07	2.64E-08	-2.64E-08	6.12E-08	-6.12E-08
