centrality	0	5	535	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.725	0.7	0.75	17.4229	0	0	1.39385	-1.39385
0.775	0.75	0.8	14.3074	0	0	1.14462	-1.14462
0.45	0.4	0.5	66.3984	0	0	5.31188	-5.31188
0.55	0.5	0.6	40.431	0	0	3.23449	-3.23449
0.65	0.6	0.7	25.2101	0	0	2.01682	-2.01682
0.75	0.7	0.8	16.1138	0	0	1.28911	-1.28911
0.85	0.8	0.9	10.4384	0	0	0.835074	-0.835074
0.95	0.9	1	6.83568	0	0	0.546858	-0.546858
1.05	1	1.1	4.54861	0	0	0.363892	-0.363892
1.15	1.1	1.2	3.0751	0	0	0.24601	-0.24601
1.25	1.2	1.3	2.09757	0	0	0.167809	-0.167809
1.35	1.3	1.4	1.44466	0	0	0.115575	-0.115575
1.45	1.4	1.5	1.00243	0	0	0.0801965	-0.0801965
1.55	1.5	1.6	0.701094	0	0	0.0560896	-0.0560896
1.65	1.6	1.7	0.4955	0	0	0.0396419	-0.0396419
1.75	1.7	1.8	0.353069	0	0	0.0282474	-0.0282474
1.85	1.8	1.9	0.253307	0	0	0.0202663	-0.0202663
1.95	1.9	2	0.183327	0	0	0.0146678	-0.0146678
							
centrality	30	40	169.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.225	0.2	0.25	139.313	0	0	11.1451	-11.1451
0.275	0.25	0.3	106.867	0	0	8.54935	-8.54935
0.325	0.3	0.35	82.407	0	0	6.59257	-6.59257
0.375	0.35	0.4	63.3075	0	0	5.06461	-5.06461
0.425	0.4	0.45	48.3872	0	0	3.87099	-3.87099
0.475	0.45	0.5	37.0147	0	0	2.96118	-2.96118
0.525	0.5	0.55	29.1018	0	0	2.32815	-2.32815
0.575	0.55	0.6	22.5645	0	0	1.80517	-1.80517
0.625	0.6	0.65	17.8106	0	0	1.42485	-1.42485
0.675	0.65	0.7	13.8444	0	0	1.10756	-1.10756
0.725	0.7	0.75	11.134	0	0	0.890735	-0.890735
0.775	0.75	0.8	9.13812	0	0	0.731066	-0.731066
0.45	0.4	0.5	43.3511	0	0	3.4681	-3.4681
0.55	0.5	0.6	26.1836	0	0	2.09469	-2.09469
0.65	0.6	0.7	16.1806	0	0	1.29446	-1.29446
0.75	0.7	0.8	10.268	0	0	0.821441	-0.821441
0.85	0.8	0.9	6.62333	0	0	0.52987	-0.52987
