centrality	0	10	623.9	32.2
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-	
13	12	14	4.16E-08	4.50E-09	-4.50E-09	5.08E-09	-5.08E-09
15	14	16	1.42E-08	2.20E-09	-2.20E-09	2.34E-09	-2.34E-09
17	16	18	5.63E-09	1.61E-09	-1.61E-09	1.07E-09	-1.07E-09

centrality	30	40	176.8	11.6				
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	8.94E-01	1.15E-02	-1.15E-02	6.18E-02	-6.18E-02
1.75	1.5	2	1.64E-01	1.67E-03	-1.67E-03	1.10E-02	-1.10E-02
2.25	2	2.5	3.41E-02	3.38E-04	-3.38E-04	2.47E-03	-2.47E-03
2.75	2.5	3	8.22E-03	8.42E-05	-8.42E-05	6.26E-04	-6.26E-04
3.25	3	3.5	2.22E-03	2.47E-05	-2.47E-05	1.75E-04	-1.75E-04
3.75	3.5	4	7.41E-04	8.78E-06	-8.78E-06	5.85E-05	-5.85E-05
4.25	4	4.5	2.49E-04	3.47E-06	-3.47E-06	1.96E-05	-1.96E-05
4.75	4.5	5	1.05E-04	1.73E-06	-1.73E-06	8.21E-06	-8.21E-06
5.25	5	5.5	4.43E-05	8.99E-07	-8.99E-07	3.42E-06	-3.42E-06
5.75	5.5	6	2.10E-05	5.44E-07	-5.44E-07	1.61E-06	-1.61E-06
6.25	6	6.5	1.04E-05	3.14E-07	-3.14E-07	7.84E-07	-7.84E-07
6.75	6.5	7	5.62E-06	1.51E-07	-1.51E-07	4.20E-07	-4.20E-07
7.25	7	7.5	3.44E-06	1.14E-07	-1.14E-07	2.55E-07	-2.55E-07
7.75	7.5	8	1.93E-06	8.24E-08	-8.24E-08	1.43E-07	-1.43E-07
8.25	8	8.5	1.17E-06	5.60E-08	-5.60E-08	8.64E-08	-8.64E-08
8.75	8.5	9	7.14E-07	3.96E-08	-3.96E-08	5.43E-08	-5.43E-08
9.25	9	9.5	4.23E-07	2.92E-08	-2.92E-08	3.29E-08	-3.29E-08
9.75	9.5	10	3.91E-07	2.64E-08	-2.64E-08	3.08E-08	-3.08E-08
11	10	12	1.30E-07	7.50E-09	-7.50E-09	1.16E-08	-1.16E-08
13	12	14	3.13E-08	3.59E-09	-3.59E-09	3.79E-09	-3.79E-09
15	14	16	7.35E-09	1.59E-09	-1.59E-09	1.26E-09	-1.26E-09
17	16	18	2.77E-09	1.04E-09	-1.04E-09	5.87E-10	-5.87E-10

centrality	40	50	109.4	9.1				
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	5.41E-01	5.99E-03	-5.99E-03	3.22E-02	-3.22E-02
1.75	1.5	2	9.96E-02	9.73E-04	-9.73E-04	6.56E-03	-6.56E-03
2.25	2	2.5	2.14E-02	2.06E-04	-2.06E-04	1.54E-03	-1.54E-03
2.75	2.5	3	5.30E-03	5.33E-05	-5.33E-05	4.03E-04	-4.03E-04
3.25	3	3.5	1.52E-03	1.61E-05	-1.61E-05	1.20E-04	-1.20E-04
3.75	3.5	4	4.87E-04	5.83E-06	-5.83E-06	3.85E-05	-3.85E-05
4.25	4	4.5	1.80E-04	2.50E-06	-2.50E-06	1.41E-05	-1.41E-05
4.75	4.5	5	7.08E-05	1.23E-06	-1.23E-06	5.53E-06	-5.53E-06
5.25	5	5.5	3.17E-05	6.81E-07	-6.81E-07	2.45E-06	-2.45E-06
5.75	5.5	6	1.59E-05	4.30E-07	-4.30E-07	1.22E-06	-1.22E-06
6.25	6	6.5	7.67E-06	2.52E-07	-2.52E-07	5.80E-07	-5.80E-07
6.75	6.5	7	3.96E-06	1.23E-07	-1.23E-07	2.97E-07	-2.97E-07
7.25	7	7.5	2.08E-06	8.77E-08	-8.77E-08	1.55E-07	-1.55E-07
7.75	7.5	8	1.29E-06	5.94E-08	-5.94E-08	9.67E-08	-9.67E-08
8.25	8	8.5	8.60E-07	4.55E-08	-4.55E-08	6.45E-08	-6.45E-08
