687.4	1.13486761	1.63E-02
560.4	1.12972799	1.61E-02
456.8	1.12648865	1.63E-02
371.5	1.12086478	1.62E-02
274	1.11050912	1.60E-02
176.8	1.09282203	1.57E-02
109.4	1.07382718	1.53E-02
61.6	1.05160171	1.48E-02
32	1.02395391	1.41E-02
16	1.00655022	1.34E-02
7	0.97567385	1.26E-02
190.5388889	1.1111713	1.60E-02
