centrality	0	10	623.9	32.2					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	64.4966	0.798992	-0.798992	5.804694	-5.804694
0.65	0.6	0.7	41.1903	0.494075	-0.494075	3.707127	-3.707127
0.75	0.7	0.8	24.9834	0.288644	-0.288644	2.248506	-2.248506
0.85	0.8	0.9	16.6022	0.195308	-0.195308	1.494198	-1.494198
0.95	0.9	1	11.0994	0.130991	-0.130991	0.998946	-0.998946
1.05	1	1.1	7.31296	0.0855602	-0.0855602	0.6581664	-0.6581664
1.15	1.1	1.2	4.88982	0.0561573	-0.0561573	0.4400838	-0.4400838
1.25	1.2	1.3	3.32535	0.0380133	-0.0380133	0.2992815	-0.2992815
1.35	1.3	1.4	2.32585	0.0265908	-0.0265908	0.2093265	-0.2093265
1.45	1.4	1.5	1.61954	0.0183807	-0.0183807	0.1457586	-0.1457586
1.55	1.5	1.6	1.10901	0.0124477	-0.0124477	0.0998109	-0.0998109
1.65	1.6	1.7	0.789459	0.00890067	-0.00890067	0.07105131	-0.07105131
1.75	1.7	1.8	0.555767	0.0062149	-0.0062149	0.05001903	-0.05001903
1.85	1.8	1.9	0.38974	0.00433641	-0.00433641	0.0350766	-0.0350766
1.95	1.9	2	0.280782	0.00310559	-0.00310559	0.02527038	-0.02527038
2.1	2	2.2	0.175422	0.00138876	-0.00138876	0.01578798	-0.01578798
2.3	2.2	2.4	0.0926823	0.000737789	-0.000737789	0.008341407	-0.008341407
2.5	2.4	2.6	0.0511268	0.000418774	-0.000418774	0.004601412	-0.004601412
2.7	2.6	2.8	0.0290497	0.000252014	-0.000252014	0.002614473	-0.002614473
2.9	2.8	3	0.0173556	0.000164926	-0.000164926	0.001562004	-0.001562004
3.25	3	3.5	0.00738957	5.50E-05	-5.50E-05	0.000738957	-0.000738957
3.75	3.5	4	0.00227597	2.50E-05	-2.50E-05	0.000227597	-0.000227597
4.25	4	4.5	0.000817593	1.41E-05	-1.41E-05	8.18E-05	-8.18E-05
4.75	4.5	5	0.000323376	8.84E-06	-8.84E-06	3.23E-05	-3.23E-05
5.25	5	5.5	0.00014537	1.12E-05	-1.12E-05	2.04E-05	-2.04E-05
5.75	5.5	6	5.71E-05	7.75E-06	-7.75E-06	7.99E-06	-7.99E-06
							
centrality	10	20	414.2	20.2					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	43.4363	0.539478	-0.539478	3.909267	-3.909267
0.65	0.6	0.7	27.8565	0.335019	-0.335019	2.507085	-2.507085
0.75	0.7	0.8	16.9561	0.196491	-0.196491	1.526049	-1.526049
0.85	0.8	0.9	11.2952	0.133389	-0.133389	1.016568	-1.016568
0.95	0.9	1	7.59775	0.090046	-0.090046	0.6837975	-0.6837975
1.05	1	1.1	5.01393	0.0587133	-0.0587133	0.4512537	-0.4512537
1.15	1.1	1.2	3.36098	0.0386207	-0.0386207	0.3024882	-0.3024882
1.25	1.2	1.3	2.29481	0.0262475	-0.0262475	0.2065329	-0.2065329
1.35	1.3	1.4	1.61032	0.0184229	-0.0184229	0.1449288	-0.1449288
1.45	1.4	1.5	1.12594	0.0127868	-0.0127868	0.1013346	-0.1013346
1.55	1.5	1.6	0.775265	0.00870694	-0.00870694	0.06977385	-0.06977385
